metric,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
lemurs_imagenet_10,64.77,59.343,74.743,67.11,70.963,78.818,84.745,79.591,69.471,85.72,73.803,63.264,73.959,76.101,74.094,84.332,89.174,70.667,22.667,6.6667,22569,4193,2740,36,53,17,5,166,53.805,82.272,80.039,84.634,21420,5342,3889,25309,26762,91,75
lemurs_imagenet_100,66.443,61.152,76.244,65.596,76.525,79.609,87.805,80.669,69.425,85.191,76.118,64.846,78.724,77.28,78.836,82.277,95.985,70.667,21.333,8,22019,4743,921,30,53,16,6,118,60.031,84.069,78.066,91.072,20892,5870,2048,22940,26762,91,75
lemurs_imagenet_100_1e-5,66.147,59.527,76.449,64.39,75.702,79.944,86.274,80.86,69.307,85.205,76.285,64.999,75.521,77.535,75.648,80.353,94.469,70.667,17.333,12,21504,5258,1259,34,53,13,9,114,57.47,83.279,77.057,90.594,20622,6140,2141,22763,26762,87,75
lemurs_imagenet_100_5e-5,67.639,61.331,81.076,67.356,74.094,83.712,90.083,80.318,71.536,87.253,75.463,65.843,77.916,77.072,78.029,84.467,92.918,76,14.667,9.3333,22605,4157,1723,30,57,11,7,115,58.55,85.019,81.152,89.272,21718,5044,2610,24328,26762,98,75
lemurs_imagenet_10_1e-5,52.042,40.912,68.526,43.801,73.423,71.402,84.003,79.881,54.176,68.573,73.21,50.202,48.367,76.874,48.431,54.043,90.592,42.667,26.667,30.667,14463,12299,1502,17,32,20,23,89,35.869,64.016,51.102,85.662,13676,13086,2289,15965,26762,68,75
lemurs_imagenet_10_5e-5,64.801,59.907,72.416,65.45,74.701,75.622,82.535,80.445,68.175,84.256,75.417,63.544,74.344,77.555,74.479,81.048,92.503,70.667,20,9.3333,21690,5072,1758,36,53,15,7,123,56.153,81.143,76.119,86.877,20371,6391,3077,23448,26762,89,75
lemurs_imagenet_110,66.806,60.875,75.98,66.236,75.843,78.58,86.427,81.318,70.205,85.004,76.545,65.066,76.142,78.349,76.265,81.799,93.663,70.667,22.667,6.6667,21891,4871,1481,33,53,17,5,110,58.431,83.803,78.496,89.881,21007,5755,2365,23372,26762,102,75
lemurs_imagenet_110_1e-5,66.526,61.111,76.458,65.691,76.416,79.86,87.529,80.713,69.587,85.405,76.023,64.928,78.1,77.35,78.2,82.083,95.484,72,18.667,9.3333,21967,4795,1039,27,54,14,7,115,59.508,83.6,77.733,90.424,20803,5959,2203,23006,26762,90,75
lemurs_imagenet_110_5e-5,69.15,63.567,78.657,68.886,76.435,81.856,88.241,81.184,72.514,87.953,77.044,67.762,80.143,78.269,80.252,85.188,94.523,77.333,16,6.6667,22798,3964,1321,29,58,12,5,130,61.631,86.307,82.045,91.036,21957,4805,2162,24119,26762,94,75
lemurs_imagenet_120,67.388,62.431,75.394,66.984,77.596,77.865,86.318,81.713,70.318,85.258,77.059,65.7,78.077,78.846,78.215,82.27,95.303,73.333,20,6.6667,22017,4745,1085,37,55,15,5,118,60.674,83.9,78.163,90.546,20918,5844,2184,23102,26762,99,75
lemurs_imagenet_120_1e-5,66.053,60.288,75.515,64.397,76.712,78.942,85.979,80.579,68.804,85.153,76.021,64.734,77.285,77.223,77.363,80.655,96.079,69.333,21.333,9.3333,21585,5177,881,21,52,16,7,104,58.914,83.83,77.102,91.845,20634,6128,1832,22466,26762,86,75
lemurs_imagenet_120_5e-5,69.141,63.821,77.829,68.783,77.185,80.842,87.868,81.437,72.297,87.69,77.259,67.748,80.244,78.528,80.371,84.743,95.094,74.667,18.667,6.6667,22679,4083,1170,34,56,14,5,126,62.048,86.234,81.541,91.501,21822,4940,2027,23849,26762,98,75
lemurs_imagenet_130,67.79,62.489,78.913,66.912,77.741,81.31,89.99,81.663,70.785,85.14,77.31,65.822,77.801,78.808,77.902,81.986,95.255,70.667,22.667,6.6667,21941,4821,1093,27,53,17,5,118,60.426,83.75,77.916,90.527,20852,5910,2182,23034,26762,95,75
lemurs_imagenet_130_1e-5,65.377,59.37,75.024,63.403,76.875,78.566,85.869,80.779,68.05,83.929,76.283,64.024,75.372,77.61,75.458,78.966,95.746,69.333,17.333,13.333,21133,5629,939,23,52,13,10,95,57.691,81.648,74.494,90.323,19936,6826,2136,22072,26762,86,75
lemurs_imagenet_130_5e-5,69.017,63.676,77.303,68.199,77.659,80.012,87.159,81.375,71.922,87.639,77.257,67.707,80.046,78.546,80.151,83.985,95.634,76,14.667,9.3333,22476,4286,1026,28,57,11,7,126,62.029,85.978,80.741,91.941,21608,5154,1894,23502,26762,99,75
lemurs_imagenet_140,68.041,61.893,79.089,65.931,78.735,81.755,90.366,82.081,70.805,84.702,78.089,66.143,77.715,79.2,77.857,80.797,96.488,68,24,8,21623,5139,787,38,51,18,6,123,60.909,84.487,77.618,92.691,20772,5990,1638,22410,26762,93,75
lemurs_imagenet_140_1e-5,65.948,59.928,75.304,64.355,76.504,78.806,84.659,80.76,68.851,85.1,76.083,64.747,75.828,77.571,75.914,80.016,95.123,68,21.333,10.667,21414,5348,1098,23,51,16,8,105,57.881,82.806,76.231,90.623,20401,6361,2111,22512,26762,87,75
lemurs_imagenet_140_5e-5,68.819,63.914,76.44,68.402,77.79,79.244,85.471,81.44,71.677,87.602,77.214,67.641,80.409,78.598,80.51,84.22,95.78,74.667,18.667,6.6667,22539,4223,993,27,56,14,5,119,62.384,85.927,80.741,91.824,21608,5154,1924,23532,26762,90,75
